asv,run,time,day,treatment,mean_rel_abundance,sd_rel_abundance,phylum,family,genus,upper,lower
ccac83126723f6f17cd2509cd69bacdb,T49,144,6,control,3.4696160185407954,1.320336774260721,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae_incertae_sedis,4.789952792801516,2.1492792442800743
f18fb5fc94c12a72c34c6ea7c46ced05,T49,144,6,control,2.999001561497733,0.9882278881690998,Bacteroidetes,Prevotellaceae,Prevotella,3.987229449666833,2.010773673328633
0e32600d9ce198d8b4db5ae1a9c9a693,T49,144,6,control,1.5660565807331308,0.511008943393537,Firmicutes,Lactobacillaceae,Lactobacillus,2.0770655241266676,1.0550476373395938
2b33470dd62fd43d6f99348c842170fc,T49,144,6,control,0.7284967507904,0.7127767039607223,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,1.4412734547511223,0.015720046829677647
d594a0de704afaf4e41a051c1ae8a597,T49,144,6,control,1.601982104441083,0.27815302146741494,Proteobacteria,Succinivibrionaceae,Succinivibrio,1.880135125908498,1.3238290829736679
adf060f30d91c510369fb0a01fad79de,T49,144,6,control,2.2089628148208074,0.4950878528332827,Bacteroidetes,Prevotellaceae,Prevotella,2.70405066765409,1.7138749619875246
9efb600a2134f80bb6cc8d9082bd53de,T49,144,6,control,3.3611154412395767,1.2919426934630835,Bacteroidetes,Prevotellaceae,Prevotella,4.65305813470266,2.069172747776493
ebbfff4f53bee0e6e65f6eb1808c71e9,T49,144,6,control,0.4090069182057947,0.24214795057920507,Firmicutes,Lactobacillaceae,Lactobacillus,0.6511548687849997,0.16685896762658964
d01def8de9d83d9bff16ac8fe47cf4d1,T49,144,6,control,0.5376998007419981,0.07461941420490596,Bacteroidetes,Prevotellaceae,Prevotella,0.612319214946904,0.4630803865370921
6df4e62f3185ee8ba842ce3cee6dce3e,T49,144,6,control,2.4469278007741253,0.31807375772111673,Firmicutes,Streptococcaceae,Streptococcus,2.765001558495242,2.1288540430530087
b68f61951e5745e3a5b0ed2275e6afff,T49,144,6,control,0.6413991022448228,0.12417601368074005,Firmicutes,Lactobacillaceae,Lactobacillus,0.7655751159255628,0.5172230885640827
d00a3113d20af2016cbd40ddf3337231,T49,144,6,control,0.10209706751207293,0.021545553196379595,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,0.12364262070845253,0.08055151431569332
a89c6a8aab4eede38e4e0b5f1b4848ae,T49,144,6,control,2.1443744726596736,1.0816097099585305,Bacteroidetes,Prevotellaceae,Prevotella,3.225984182618204,1.0627647627011432
e62c9128d4169fbdbdf1daa802527616,T49,144,6,control,0.29096452122891087,0.13420899132564626,Firmicutes,Lactobacillaceae,Lactobacillus,0.42517351255455715,0.1567555299032646
fd9c1527d0d0ce35132bdf6aff546f68,T49,144,6,control,0.48855587378632237,0.2169938230292677,Bacteroidetes,Prevotellaceae,Prevotella,0.7055496968155901,0.27156205075705464
847336e07600d1f223248b1c4d6b56e9,T49,144,6,control,0.7522725097903061,0.1548029931024877,Bacteroidetes,Prevotellaceae,Prevotella,0.9070755028927938,0.5974695166878184
2cdf3fee879caed987e888243990b5a9,T49,144,6,control,0.7068239619453688,0.2493067512857893,Bacteroidetes,Prevotellaceae,Prevotella,0.9561307132311581,0.4575172106595795
ed3bdbe9650634e79de44420c658416a,T49,144,6,control,1.1226043657054374,0.5498851806663145,Bacteroidetes,Prevotellaceae,Prevotella,1.672489546371752,0.5727191850391229
73434e9b25a6733158551284e0fea639,T49,144,6,control,0.15156189859240682,0.0805611142351429,Firmicutes,Lactobacillaceae,Lactobacillus,0.2321230128275497,0.07100078435726392
69d089ad9bf1140ab51051a584dff5d9,T49,144,6,control,0.487556856707306,0.5261728487938795,Proteobacteria,Succinivibrionaceae,Ruminobacter,1.0137297055011856,-0.038615992086573514
